shapeName_adm2,shapeID_adm2,shapeName_adm1,shapeID_adm1,overlap_adm1,treatment,esa_lc_2015_rainfed_cropland,esa_lc_2015_mosaic_cropland,esa_lc_2015_forest,esa_lc_2015_urban,esa_lc_2015_irrigated_cropland,esa_lc_2015_grassland,esa_lc_2015_shrubland,esa_lc_2015_water_bodies,esa_lc_2015_bare_areas,esa_lc_2015_wetland,esa_lc_2015_sparse_vegetation,esa_lc_2020_rainfed_cropland,esa_lc_2020_mosaic_cropland,esa_lc_2020_forest,esa_lc_2020_urban,esa_lc_2020_irrigated_cropland,esa_lc_2020_grassland,esa_lc_2020_shrubland,esa_lc_2020_water_bodies,esa_lc_2020_bare_areas,esa_lc_2020_wetland,esa_lc_2020_sparse_vegetation
Hohoe Municipal,2480657B20464126159243,Volta Region,69750345B58204744476950,0.9980307699990186,1,4032.0,2382.0,1085.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3950.0,2339.0,1170.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Gonja Municipal,2480657B20562210440652,Savannah Region,69750345B26994269439887,0.9984069432337381,0,212.0,87.0,22230.0,1.0,3.0,10.0,1432.0,531.0,0.0,0.0,0.0,189.0,85.0,22311.0,1.0,3.0,10.0,1376.0,531.0,0.0,0.0,0.0
Adaklu,2480657B20696154785284,Volta Region,69750345B58204744476950,1.0000000000000016,0,3727.0,2171.0,2873.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3007.0,1538.0,4227.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
Keta Municipal,2480657B20833842549797,Volta Region,69750345B58204744476950,0.9982671808927648,0,1353.0,360.0,338.0,202.0,45.0,54.0,590.0,2700.0,53.0,4.0,0.0,1245.0,292.0,496.0,303.0,39.0,57.0,511.0,2706.0,49.0,1.0,0.0
Sene East,2480657B21050367867823,Bono East Region,69750345B43572680159989,0.9999088040275768,1,1013.0,886.0,34828.0,12.0,4.0,18.0,2331.0,8246.0,66.0,2.0,0.0,940.0,828.0,34996.0,18.0,4.0,18.0,2319.0,8176.0,105.0,2.0,0.0
Jirapa,2480657B21686152565613,Upper West Region,69750345B48673213774244,0.9999564564706578,0,1692.0,4994.0,53.0,10.0,3.0,0.0,6349.0,2.0,0.0,0.0,0.0,1699.0,5042.0,184.0,21.0,3.0,0.0,6152.0,2.0,0.0,0.0,0.0
Banda,2480657B21856882152043,Bono Region,69750345B13833050062966,0.9756617170374241,0,90.0,112.0,22108.0,13.0,0.0,0.0,708.0,1815.0,0.0,208.0,0.0,91.0,118.0,22090.0,13.0,0.0,0.0,711.0,1823.0,0.0,208.0,0.0
Ekumfi,2480657B22323593180175,Central Region,69750345B67040307067067,0.9981617728524751,0,2464.0,167.0,266.0,76.0,0.0,0.0,41.0,80.0,0.0,2.0,0.0,2457.0,167.0,263.0,87.0,0.0,0.0,41.0,80.0,0.0,1.0,0.0
Ayawaso West,2480657B22724340600972,Greater Accra Region,69750345B46963341226980,1.0000000000000009,1,6.0,18.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Twifo Atti-morkwa,2480657B2289284937660,Central Region,69750345B67040307067067,0.9937252587582139,0,7133.0,558.0,2723.0,57.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7132.0,558.0,2723.0,58.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Asunafo South,2480657B2337940648547,Ahafo Region,69750345B39836988306125,0.9114579032903983,0,8128.0,199.0,1904.0,45.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,8125.0,199.0,1903.0,49.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Ablekuma North Municipal,2480657B23952932171735,Greater Accra Region,69750345B46963341226980,1.0000000000000004,0,1.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ga East,2480657B24635332146555,Greater Accra Region,69750345B46963341226980,0.9999999999999996,1,381.0,3.0,0.0,643.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,771.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pru East,2480657B24672710685383,Bono East Region,69750345B43572680159989,0.9999770988070636,0,1267.0,1474.0,12047.0,48.0,0.0,14.0,1141.0,1998.0,1.0,0.0,0.0,1198.0,1438.0,12167.0,72.0,0.0,13.0,1103.0,1998.0,1.0,0.0,0.0
Nanumba South,2480657B24752518727633,Northern Region,69750345B37738609557703,0.998793720632337,1,6442.0,9104.0,2844.0,5.0,12.0,2.0,1108.0,303.0,0.0,2.0,0.0,6206.0,8457.0,3859.0,10.0,9.0,2.0,972.0,305.0,0.0,2.0,0.0
Assin Fosu,2480657B24956698199939,Central Region,69750345B67040307067067,1.0000000000000016,0,2512.0,284.0,271.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2508.0,285.0,271.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amansie Central,2480657B25462964367622,Ashanti Region,69750345B3295588325057,0.9995770064689927,0,7546.0,226.0,1655.0,47.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7375.0,208.0,1840.0,51.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Suhum Municipal,2480657B2570339807900,Eastern Region,69750345B54645730941985,1.0000000000000016,1,3976.0,4.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3973.0,4.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atwima Mponua,2480657B25907117051030,Ashanti Region,69750345B3295588325057,0.9815692703677468,1,14009.0,786.0,5748.0,91.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14015.0,778.0,5728.0,112.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Asikuma-odoben-brakwa,2480657B2595733520620,Central Region,69750345B67040307067067,1.0000000000000009,1,7944.0,427.0,20.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7935.0,426.0,30.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Obuasi East,2480657B26017273678273,Ashanti Region,69750345B3295588325057,1.0000000000000002,0,739.0,19.0,35.0,86.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,731.0,19.0,35.0,94.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Gomoa East,2480657B26264719340764,Central Region,69750345B67040307067067,0.9990921868448638,1,5189.0,363.0,71.0,280.0,0.0,12.0,81.0,43.0,0.0,0.0,0.0,4975.0,343.0,70.0,502.0,0.0,10.0,96.0,43.0,0.0,0.0,0.0
Talensi,2480657B26285365473669,Upper East Region,69750345B7467317238909,0.999768567328616,0,2678.0,1253.0,2242.0,1.0,65.0,0.0,3196.0,2.0,0.0,0.0,0.0,2555.0,1153.0,3409.0,1.0,70.0,0.0,2247.0,2.0,0.0,0.0,0.0
Adenta Municipal,2480657B26321648161032,Greater Accra Region,69750345B46963341226980,0.9999999999999993,1,240.0,75.0,0.0,596.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,128.0,36.0,0.0,754.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0
Akwapem South,2480657B26354408705676,Eastern Region,69750345B54645730941985,0.9217366166843468,0,2521.0,16.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521.0,16.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
